DATE,GOOG,NVDA,AMZN,RPD,SPLK,PYPL,AAPL,SNPS,MU,MSFT
9/7/16,0.000448617,-0.011669863,-0.006416754,0.001638002,0.000655093,0.032418177,0.004903104,0.002338792,-0.002909516,0.00330062
9/8/16,-0.004208744,0.008175088,0.000216844,-0.006640866,0.00147844,0.015914094,-0.016262049,-0.002843049,0.015593732,-0.003476451
9/9/16,-0.013649412,-0.040015218,-0.024970443,-0.053507154,-0.009345862,-0.019281473,-0.014535559,-0.018012382,-0.030465156,-0.010265577
9/12/16,0.018227057,0.033816413,0.018498212,-0.01072077,0.020480823,0.029313797,0.026816927,0.018963582,0.03199325,0.018576386
9/13/16,-0.006285409,-0.012119348,-0.010145337,-0.012785562,-0.018558462,0.031603038,0.00408429,-0.010304058,-0.010098096,0.000530833
9/14/16,0.00378425,0.00647789,-0.001457372,0.007871672,0.011465857,-0.000750469,0.027575443,-0.007250161,0.002957707,-0.002308035
9/15/16,0.011559768,0.03555858,0.010041281,-0.011553792,0.009989078,0.012817528,0.014906783,0.012058716,0.032026027,0.018352377
9/16/16,-0.001130876,-0.00111332,0.006753473,0.016468808,-0.000507829,-0.00024567,-0.001738828,-0.005844954,-0.033748985,-0.006615623
9/19/16,-0.008737995,0.002673588,-0.006263404,-0.007824295,-0.011494379,-0.005732103,-0.014075504,0.007545911,-0.039334163,-0.005954483
9/20/16,0.00312904,-0.020551355,0.005423411,-0.002408189,-0.014457263,-0.015252202,0.004589188,-0.009722891,-0.00765385,-0.009460477
9/21/16,0.004596878,0.024661777,0.008251848,0.052612951,0.014802482,0.010729984,-0.002638524,0.008000724,0.023490052,0.004337649
9/22/16,0.009201129,-0.003377863,0.013046083,-0.019858809,-0.009593611,0.001730318,0.002358389,0.009769321,-0.016911339,-0.001728011
9/23/16,0.000394029,-0.002306806,0.003256927,0.002853069,-0.018739901,0.011798806,-0.015057741,0.001685488,0.001717722,-0.007632301
9/26/16,-0.01095743,0.00202256,-0.003298024,-0.03509132,-0.002601233,0.024085459,0.011045899,0.003215709,0.000576203,-0.003158451
9/27/16,0.009637485,0.037514925,0.017627592,0.036388991,0.01804948,0.025155457,0.000796143,0.009098631,0.026458059,0.017758127
9/28/16,0.004758219,0.002098637,0.013020005,0.002288331,0.002884536,-0.004383836,0.00228431,0.002339573,-0.040454955,0.002588216
9/29/16,-0.008262439,0.010889941,0.000953352,-0.017862762,-0.020064122,-0.012792302,-0.008698022,-0.010941949,0.005144338,-0.007117468
9/30/16,0.001235824,0.011006054,0.005629027,0.020607484,0.015975604,0.016736792,0.005232596,0,0.001688714,0.000520969
10/3/16,-0.002185143,-0.001022122,0.000884776,-0.002271438,0.034420224,-0.006874567,-0.001687165,-0.00659845,-0.014557928,0.000174171
10/4/16,0.000515311,-0.003653639,-0.008215266,0.025133968,0.007131633,-0.012670735,-0.000530833,-0.001869318,-0.010061572,-0.000523972
10/5/16,-0.003650906,-0.009481509,0.007560843,-0.021649472,0.004444086,-0.012532416,-0.003091193,0.009601691,0.00851069,0.006090683
10/6/16,-0.002750892,-0.001038961,-0.002420849,-0.03739291,-0.00761215,-0.003478264,0.00166967,0.004523,0.00508907,0
10/7/16,-0.005891677,-0.013963388,-0.007548012,-0.027886708,-0.002831683,-0.013449767,-0.00218943,-0.009071119,-0.006227023,-0.000864678
